Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Bispham,127.5203434,195.0487797,275.1721201,374.7167896,519.9065408,667.2902527,793.709634,878.2041554,920.326999,946.7300475,970.1261848,1165.170412,1923.727064,2682.72639,3440.970447,4179.598679,4875.824145,5559.227094,6225.001888,6851.848733,7461.09012,8091.269301,8758.446548,9468.61723,10198.6123,10938.01169,11655.32511,11672.20376
Blackbull,52.9768142,100.9788669,176.123035,260.4386075,370.4078739,477.6768974,572.9651081,657.7304514,732.9837408,801.6155192,866.4027869,1022.941981,1473.067776,1933.996635,2398.038715,2849.708074,3273.472414,3669.778061,4061.667278,4434.164567,4797.283454,5176.56014,5565.898933,5966.785046,6374.240818,6785.756682,7192.839395,7221.36461
Blackburn,18.36078156,33.66832271,57.26558508,91.85563608,160.6867132,231.2946961,284.7709616,322.4973827,349.324768,373.0992418,396.3425283,491.7998543,818.7767234,1147.833966,1481.862593,1812.158677,2131.440316,2442.568042,2745.744022,3021.061853,3285.179241,3568.824922,3868.287365,4179.981516,4496.225165,4813.885077,5128.95587,5144.129814
Blackburn Rd Clayton,22.4883003,39.78589702,63.44512153,97.37315909,164.2781156,229.5308455,274.5911413,302.1204317,317.7820356,329.791786,340.9187965,435.9120005,791.7044291,1137.613321,1476.092702,1800.008152,2102.886512,2389.683579,2659.367468,2897.40838,3116.771452,3344.101289,3574.404252,3804.323742,4027.172986,4240.55461,4440.128386,4364.25504
Blackfriars,167.0375965,204.5882014,284.0642546,369.4383939,468.5952554,565.0272803,651.8569183,726.2416502,788.4006509,844.9690117,897.0008162,975.6292625,1145.949015,1322.097019,1490.751408,1646.409377,1776.441812,1875.66134,1967.868751,2045.658866,2113.446819,2184.802981,2258.603892,2335.975498,2414.139469,2490.304447,2558.664475,2533.4864
Blackley,120.8386862,172.6789581,235.6831118,316.9985123,446.1354516,577.2007155,687.3333347,757.0335338,786.1252129,798.7444591,806.7642141,909.0148687,1326.814304,1729.71722,2121.672115,2487.797084,2815.809549,3122.71963,3405.867429,3642.258729,3854.295786,4069.698899,4301.525177,4553.70928,4808.62051,5057.922843,5282.189335,5191.797177
Blackpool,34.30818294,62.82376169,96.11672373,138.7166239,197.7134488,259.3727675,312.1548396,340.6330516,352.3284688,359.8137965,366.3506571,404.0953431,556.2878787,709.3736782,861.7702932,1004.974941,1129.798287,1251.782417,1364.61563,1463.000293,1554.424241,1653.874739,1775.177144,1914.804158,2059.649984,2206.167363,2345.220152,2348.577419
Bollington,32.64389271,63.79048931,114.5604099,175.3592121,264.2087144,355.0436448,433.71123,500.6154411,557.6823884,609.9221543,660.4931978,781.8983102,1130.485727,1487.862279,1847.419159,2200.164758,2533.859566,2844.894543,3152.635607,3440.227975,3717.662267,4009.655711,4313.145111,4627.580989,4946.903997,5268.332574,5586.71433,5612.767131
Bolton By Bowland,4.358874925,7.794691889,12.19733427,17.90993435,31.96459832,47.035305,59.00690411,68.03296204,73.51560897,77.13918188,80.15897191,93.56641114,141.9194815,190.7042498,239.5247482,286.6834225,332.4011633,377.5185615,421.6483476,459.1160958,493.2969503,530.8306501,571.1157155,614.9825097,660.83833,707.2855862,753.7733015,754.9484851
Bolton Le Sands,25.12670367,52.61258526,95.56169386,149.6880783,253.9083628,361.275827,444.5163618,512.7503269,566.9435671,613.1196071,655.184845,806.1602646,1306.155831,1813.300592,2321.183939,2818.807616,3301.844015,3769.682595,4231.330302,4653.416793,5058.17751,5490.91911,5939.323344,6403.362963,6875.841346,7350.85093,7825.663519,7843.514963
